,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6
CG5535,0.264215088,0.153524906,0.106895034,0.057177174,0.214878127,0.635933586
CG5597,0.012875014,0.323156337,0.000866731,0.042560617,0.002081711,0.000549173
CG5612,0.002312943,0.105163756,0.02185686,0.024869649,0.00162071,0
CG5639,1.535950917,0.081890413,0.390656249,0.856988226,0.49128242,0.171898258
CG5697,0.039425725,0.064676074,0.021623839,0.054370944,0.003853103,0.027695124
CG5758,0.220459284,0.105031535,0.883895748,0.140724808,0.110957173,0.151094371
CG5767,0.235395349,0.170684104,0.235340334,0.2058732,0.252557834,0.160358437
CG5773,0.045860167,0.003038575,0.02521335,0.014942301,0.019002734,0.026492801
CG5783,0.019721968,0.025412997,0.01567865,0.060105127,0.035280627,0.00398869
CG5853,0.477900105,0.167293273,0.376758454,0.529274739,0.335465869,0.467541668
CG5867,0.009600542,0.058331097,0.008301147,1.215461392,0.693419607,0.053617963
CG5888,0.119318843,0.013004861,0.036428706,0.108454904,0.044489246,0.026645109
CG5909,0.008059258,0.002611389,0,0.014500234,0.005863786,0.000517168
CG5928,0.002227914,0.01105213,0.002538532,0.03962888,0.022819353,0.001457652
CG5937,0.00418798,0.070286946,0.001377707,0.006842681,0.005409547,0.020703268
CG5945,0.037187113,0.017996375,0.029001231,0.288220648,0.15405114,0.003969719
CG5958,0.31723995,0.096583768,0.127569234,0.210016277,0.212162793,0.320219389
CG5973,0.666266973,0.065729612,0.313492496,0.869949111,0.737980263,0.155654863
CG6006,0.139941426,0.109425497,0.037162594,0.135978291,0.369338133,1.448179215
CG6024,0.03691545,0.048375038,0.003707719,0.026827789,0.023680904,0.02473416
CG6048,0.174146987,0.01335315,0.447985875,0.003298252,0.077350733,0.152580484
CG6125,0.087346107,0.01639995,0.070845417,0.033565041,0.017387024,0.015714928
CG6149,0.005500186,0.020105668,0.001006317,0.001100037,0.920692493,0
CG6168,0.004708128,0.011441736,0.039649134,0.011571381,0.663945067,0.028801659
CG6225,0.066921967,0.112452286,0,0.033605161,0.017880416,0
CG6277,0.185107431,0.076578822,0.152320855,0.16807528,0.142113877,0.156181125
CG6280,0,0,0,0.051487769,0.021453732,0
CG6282,0,0.005584172,0,0.006932515,0.054106711,0
CG6283,0.461207957,0.105912104,0.294889777,0.095292352,0.211712461,0.341487024
CG6295,1.3377738,0.320454565,0.70879897,0.405107897,0.803370728,0.9690211
CG6329,0.025532953,0.273623557,0.003972202,0.10821232,0.046548816,0.005386048
CG6337,0.03055872,0.028347212,0.14319681,0.019864397,0.013461753,0.014112419
CG6356,0.005182385,0.056498848,0.001958616,0.008731368,0.001463401,0
CG6357,1.017200662,0.700962161,1.072642746,0.252782159,0.42046265,0.745039255
CG6398,0.496127781,0.051363188,0.144329945,0.819717288,1.020400866,0.063999771
CG6405,0.000754381,0.04625244,0.001150124,0.012969143,0.005257767,0.000754381
CG6409,2.408147042,0.152793283,0.460300975,0.340620583,0.534868639,0.022151846
CG6429,0.005811686,0,0,0.025870153,0.026445612,0.000510087
CG6472,0.038190705,0.002124805,0,0.041986819,0.020010008,0
CG6484,1.245806952,0.14397781,0.369215042,0.094566227,0.618571517,0.834766806
CG6503,0.31717213,0.017302185,0,0.037849989,0.014402596,0.032851051
CG6688,0.131474326,0.047106681,0.094904974,0.258396234,0.141753314,0.022299789
CG6739,0.002583538,0.001813901,0.001787887,0.053487683,0.039854283,0
CG6839,0.093770025,0.047412592,0.976630212,0.04550717,0.050297613,0.051753578
CG6867,0.226403462,0.013922231,0.027513252,0.026816164,0.037717202,0.002017612
CG6908,0.300417129,0.070066374,0.120033323,0.09111895,0.132154382,0.155005858
CG6910,0.404875594,0.008911036,0.037708557,0.073336198,0.064407802,0.067347742
CG6933,0.030896708,0.006801496,0.017282386,0.001945568,0.022374721,0.030576263
CG6966,2.191575964,1.485044028,1.217172653,1.526583937,1.425348677,2.065832704
CG6967,0.920478422,0.154885612,0.315269294,0.071219244,0.367631453,1.211614112
CG6983,0.507558619,0.067940944,0.156972407,0.404735854,0.369377444,0.286492975
CG7017,0.048609076,0.065750734,0.051052585,0.024879855,0.016278019,0.027156364
CG7058,0.0198279,0.011134486,0.006426269,0.011932686,0.004691814,0.027628334
CG7059,0.00643664,0.019664179,0.014791908,0.001610207,0.646381027,0.00571212
CG7079,0.016949116,0.010531538,0.013749299,0.052137453,0.033150053,0.012883939
CG7084,0.009518974,0.166271413,0.010494973,0.150034384,0.009839639,0.040105612
CG7137,0.017036285,0.006552033,0.019161208,0.008518295,0.022622244,0.045691904
CG7142,0.362762568,0.561127094,0.510464699,0.056976132,0.083824195,0.300500144
CG7179,0,0,0.031935728,0.010569305,0.001590996,0.00368664
CG7191,0.002777575,0.130392398,0.005205087,0.002616391,0.002808512,0
CG7213,0.03267834,0.023413051,0.016291294,0.005898235,0.004309159,0.006732478
CG7294,0,0,0,0.013064122,0.008989728,0
CG7296,0.026465739,0,0,0.01291934,0.01762423,0
CG7298,0.0975928,0.055661602,0.078309499,0.03277446,0.04443074,0.090495044
CG7341,0.012055964,0.003525506,0.019351441,0.004973151,0.003975475,0.003868255
CG7342,0,0,0,0.003466892,0.002343499,0
CG7365,0.706864992,0.019953808,0.087118865,0.097615692,0.102042483,0.006776032
CG7378,0.642027457,0.822284985,0.093543722,0.603646722,0.23542927,0.023272727
CG7402,0.049227433,0.200056961,0.052045485,0.019415426,0.005378831,0.01320424
CG7408,0.28537349,0.021459609,0.063621882,0.139414218,0.067307406,0.016640256
CG7460,0.032232984,0.006813745,0.010142833,0.000862123,0.031637507,0.023821549
CG7470,2.092008145,0.216820897,0.674602175,0.183755464,0.810633434,1.464746119
CG7497,0.078798492,0.073515363,0.039189541,0.10061649,0.083432283,0.203330176
CG7542,0.347446519,0.062017496,0.107680238,0.057463737,0.146379429,0.166320903
CG7567,0.151891561,0.115358559,0.201051909,0.074414059,0.154557448,0.126008244
CG7631,0.028724999,0,0.010684671,0.020213739,0.007745306,0.024009248
CG7692,0.052523039,0.021464812,0.012116189,0.02563446,0.029163212,0.056487761
CG7695,0.003604746,0.002199955,0,0.060677931,0.008980656,0
CG7714,0.027066503,0.00559993,0.022200318,0,0.015126335,0.022735882
CG7720,1.322964864,2.531711051,0.665500853,1.226985576,0.749043828,0.507766219
CG7724,0.040120925,0.010896451,0.024087928,0.212186203,0.08832507,0.012812259
CG7737,0.04169467,0.007903236,0.202157773,0.00231386,0.012581158,0.061434235
CG7768,0.032478049,0.037510592,0.010106363,0.261634625,0.13610745,0.013447388
CG7778,1.193109921,0.0871807,0.211168557,1.125095543,0.725610563,0.076806038
CG7794,0.010892445,0.003461444,0.01574736,0.003763855,0.005761759,0.010387296
CG7839,0.108207575,0.061163503,0.075319957,0.03898367,0.153810263,0.340481312
CG7849,0.131663689,0.068050463,0.057770628,0.070716481,0.05833729,0.131894417
CG7888,1.502741721,0.073941992,0.16957365,0.273539949,0.185369644,0.032786415
CG7916,0.164323996,0.063395849,0.103247637,0.117980644,0.147902158,0.373851983
CG7953,0.451594478,0.156339147,0.21261043,0.148736703,0.379383692,0.598472306
CG7985,0.034196536,0.032394851,0.061731971,0.018484091,0.043687086,0.095655241
CG7990,0.017117619,0.21993734,0.003474927,0.018780322,0.006556474,0.013146166
CG7991,0.003730625,0.005015765,0,0.003136643,0.008118507,0.008554869
CG7997,0.19991159,0.088609738,0.12205865,0.017348358,0.057078635,0.064796205
CG8008,1.189676466,0.032828362,0.085064265,0.322969292,0.231572882,0.004938599
CG8012,0.006386856,0,0.005286577,0.001232041,0,0
CG8034,3.884609715,0.649765556,1.602877467,1.269225627,1.676116434,2.041480215
CG8086,0.538761469,0.652625123,0.189327432,1.842409816,0.962477441,0.056793265
CG8093,0.189290179,0.044915031,0.040859446,0.044307357,0.129598599,0.511811312
CG8170,1.372891469,0.034244618,0.004554215,0.173183166,0.128231121,0
CG8180,0.23662779,0.079285608,0.205038968,2.714393251,1.257017887,0.155032729
CG8192,0.008450394,0,0.006449013,0.028792769,0.00951042,0.014145773
CG8204,0.057628168,0.028019503,0.033712108,0.015343216,0.016104566,0.050534823
CG8299,0.011333371,0.001283769,0.00203995,0.009176328,0.011870317,0.001759705
CG8303,0.396410743,0.023246451,0.127416513,0.43529845,0.435911104,0.016318637
CG8369,0.710668056,0.18101983,0.295931934,0.435875808,0.427470554,0.161161233
CG8468,0.73077725,0.089470944,0.011846994,0.110832395,0.057832177,0.059964022
CG8483,0.112851261,0.405426035,0.035844344,0.138080251,0.066776438,0.035928843
CG8500,0.032193196,0.064680672,0.007274132,0.012647306,0.007115461,0.03676308
CG8509,0.016547453,0.026679288,0.022688713,0.004255794,0.026276958,0.015748031
CG8519,0,0.16278912,0,0.003437116,0.003579397,0
CG8560,0.039613814,0.068375915,0.065241635,0.048214488,0.059383774,0.22667557
CG8562,0.089959915,0.045129973,0.053901606,0.064465627,0.043630189,0.331578655
CG8563,0.006734176,0.056115322,0,0.273154065,0.135228779,0.008377341
CG8586,0.069983714,0.004178664,0.018309579,0.114414849,0.096677413,0.029140768
CG8620,0.331529453,0.134834434,0.408737316,0.500625362,0.435279635,1.094725945
CG8630,0,0.034489107,0.012093849,0.00845975,0.295779424,0.002628536
CG8641,0.008270248,0.051571348,0.108002557,0,0.002165166,0
CG8654,0.0471086,0.009766569,0.138666727,0.098716908,0.051584618,0.006717688
CG8665,0.908543829,0.32702364,0.747479837,0.091253337,0.279820318,0.452338924
CG8740,1.483344027,0.753938218,0.612872883,1.838381487,0.868858384,0.141149498
CG8745,0.268081628,0.124889696,0.115117364,0.109374367,0.105716232,0.139680237
CG8774,0.027068017,0.017921089,0.025506716,0.01353567,0.216994956,0.077235282
CG8785,0.213427999,0.030867884,0.122120447,0.027711615,0.089227079,0.171388091
CG8834,0.855108386,0.122130306,0.172004148,0.149705261,0.322297327,0.971777278
CG8850,0.015185979,0.0228021,0.001421148,0.000724321,0.026396097,0.002095142
CG8852,0,0.003684755,0.004535805,0,0.003986461,0.007972922
CG8854,0,0,0.003825328,0.02379062,0.01249349,0.001655002
CG8888,0.015696659,0.079203598,0.002349783,0.039264387,0.017997794,0.009552306
CG8925,1.220913024,0.651215227,0.996188403,0.20309364,0.461482838,0.663624028
CG8997,0.750711468,0.147196188,0.275860842,0.238490004,0.466737645,0.74405846
CG9029,0.012313457,0.010659526,0.002508516,0.007064147,0.206142177,0.028014817
CG9095,0.320993913,0.012285641,0.226004964,0.175719654,0.219272593,0.05047765
CG9119,1.05623509,0.268925801,0.513616646,0.337828317,0.606202565,0.975011844
CG9164,0.016323201,0.009823977,0.001765722,0.006349434,0,0.000549173
CG9170,0.003616057,0.084829747,0.011871696,0.001717478,0.007071643,0.024180187
CG9254,0.026607536,0.011741756,0,0.010894822,0.01254437,0.024926954
CG9257,0.030760927,0.022822558,0.057224429,0.013419659,0.04967921,0.075212707
CG9263,0.0422988,0.012895714,0.048886223,0.03675013,0.010322396,0.010876466
CG9265,1.16607774,0.052120533,0.282882621,0.360657794,0.296850028,0.189211648
CG9297,0.008646608,0.292119222,0.022346161,0.035205675,0.02112889,0.003036989
CG9314,0.003195696,0.001291618,0.01397865,0.133419011,0.041531072,0.003805123
CG9328,0.324250027,1.08367989,0.16103101,0.201637883,0.303809542,0.194363447
CG9336,0.994039375,0.462817382,0.402611289,1.114620012,1.428673468,0.054673153
CG9338,0.14345629,0.160522066,0.055911562,0.086237352,0.136641181,0.03854952
CG9389,0.018287357,0,0.014580286,0.012844505,0.012888303,0.003130103
CG9394,0.187331413,0.030552344,0.084907982,0.028815288,0.108285989,0.151133606
CG9411,0.002134307,0,0,0.25004489,0.116859163,0
CG9416,0.00468675,0.0140651,0.010337249,0.002445945,0.001687229,0.004294572
CG9444,0.023463206,0.038572524,0.055047386,0.02868729,0.019523344,0.029196113
CG9449,0.041608793,0.085087994,0.005961939,0.036806847,0.007559203,0.005228126
CG9451,0.144955709,0.002559952,0,0.032871322,0.01585852,0.002691243
CG9452,0.017608505,0,0,0.016111631,0.016981223,0.012262879
CG9514,0.175420481,0.011149736,0.086017649,0.043940554,0.05602177,0.09671156
CG9518,0.24147087,0.032217567,0.313230736,0.087503578,0.113164071,0.227123037
CG9547,0.054938655,0.062248076,0.042524997,0.03479406,0.045140291,0.033303937
CG9568,0.531341155,0.387315486,0.24996637,0.151663163,0.354811607,0.913728459
CG9572,0.153900866,0.202903584,0.111171538,0.273766571,0.145866175,0.023285993
CG9626,0.008786766,0.10256986,0.002756739,0.014776293,0.002387955,0.008381306
CG9631,0.009884313,0.001534814,0.011198471,0.054466971,0.027730147,0.009309916
CG9649,0.04287498,0.001111989,0.00135721,0.099951018,0.056373137,0.009672206
CG9650,0.374018512,1.607785927,0.968723842,0.10365615,0.077604303,0.26922169
CG9672,0.755385055,0.1091446,0.335977334,0.123854772,0.42829667,0.686979723
CG9682,0.014016984,0.003318274,0.009221424,0,0.055064406,0.027242144
CG9689,0.002583538,0.007158705,0.013076273,0.011448332,0.002719869,0.004635125
CG9701,0.145858775,0.431172677,1.222271293,0.010661198,0.018059495,0.039178253
CG9717,0.014905619,0.001124685,0.008526632,0.06157982,0.026896865,0.008998924
CG9747,0.051664908,0.035464827,0.078562543,0.384709368,0.465890821,0.015622205
CG9815,0.082030399,0.132708819,0.140164919,0.19570992,0.488556211,0.064526136
CG9826,0.049126245,0.04420026,0.021836674,0.001682013,0.01005358,0.070682462
CG9864,1.210888141,0.069187189,0.257677479,0.168291542,0.48622201,0.110251129
CG9896,0.762974771,0.066850135,0.132785822,0.781975144,0.961294805,0.723980424
CG9899,0.004666962,0.046395396,0.010824116,0,0,0
CG9928,0.109639641,0.005384055,0.016613901,0.031791872,0.015032424,0.008608363
CG9993,0.813613816,0.02713328,0,0.101110871,0.084919679,0
CG9997,0.005599266,0.013164817,0.004232104,0.001318462,0.758494713,0.028972164
COX6AL,0.00263639,0,0.006316685,0.118296433,0.068037061,0.010967669
CR14033,0.05578968,0.080665031,0.238528589,0.002755682,0.028813546,0.035489794
CR33294,0.027116608,0.004055658,0.019549025,0.016776546,0.106593705,0.015457123
CR40100,0.005444478,0.160662929,0.003757496,0.001266352,0.000527436,0.001928888
CR43364,0.841783524,0.025261393,0.019928188,0.145372777,0.090023483,0.003487646
CR44391,0.089291187,0.221489639,0.054489653,0.015630475,0.009355069,0.018529855
Ca-alpha1D,0.018483097,0.769351452,0.0035928,0.070873183,1.078794343,0.009154627
Ca-alpha1T,0.528366904,1.699969376,0.143848069,1.828887219,0.920115093,0.258373478
Ca-beta,0.026320771,0.800084287,0,0.141801589,0.011281085,0.00128229
Cad86C,0.401969146,0.017517355,0.432686528,0.076094262,0.038054016,0.065636822
CadN,0.035838863,0.254176647,0.005524398,0.05207948,0.628064524,0.005086208
CadN2,0.914046725,0.534589666,0.897839984,0.108464394,0.534212477,1.10036991
CanA1,0.008786766,0.528240829,0,0.041311973,0.004144857,0.000549173
CanB,0.006901909,0.094236066,0.003840869,0.00103563,0.002440169,0.002842295
Cap-D2,0.009719096,0.01670693,0.008794062,0.007348038,0.021443571,0.008990273
Cbp53E,0.005750359,0.024177568,0,0,0.001696049,0.00262313
Ccdc85,0.540758255,0.153705332,0.244138578,0.775391152,0.406115137,0.216524259
Cda9,0.566085675,0.298195519,0.627008913,0.050590978,0.183635075,0.303763226
CecA1,0.008107801,0.044958203,0.027931125,0.008597994,0.00278106,0.001996262
CecA2,0.002508828,0.005543418,0.004489917,0.005472457,0.002990204,0.006688557
CecC,0.013187517,0.005082583,0.007359195,0.001723327,0.003921014,0.009803287
ChAT,0.017467422,0.024403721,0.014018911,0.004342737,0.007150967,0.002335228
Chs2,0.964945981,0.352307872,0.366103891,0.12970162,0.360736992,0.581400439
Cht10,0.064662329,0.004886736,0.077219297,0.007858997,0.041810176,0.023743132
Cht4,0.495773912,0.857276619,0.893125226,0.143322146,0.190280431,0.363682591
Cht5,0.036525532,0.160669744,0.038814459,0.018636949,0.025080648,0.030506848
Cht7,0.029376849,0.021645974,0.004443932,0.626123925,0.371095563,0.03436724
Cht8,0.281474832,0.729707245,0.113647355,0.152333487,0.1396713,0.230548469
Cht9,0.277907053,0.440978419,0.181653915,0.030064348,0.140700825,0.240556135
Cks85A,0.041815668,0.074249963,0.046670413,0.035955523,0.035778509,0.077348312
CngA,0.013067332,0.248802267,0.017136096,0.051561691,0.032473446,0.002939726
Cngl,0.022924207,0.022283057,0.029550461,0.01586617,0.036673034,0.003265274
Cog7,0.081251175,0.037358796,0.07590071,0.189562246,0.076169616,0.108158668
Col4a1,0.048494737,0,0.00203995,0.00692178,0.026792682,0.010527003
Cp15,0.011546627,0.013482724,0.033174913,0.0030944,0.017432251,0.075884769
Cp19,0.004742793,0.026359014,0.009460171,0.004649352,0.011099456,0.007118463
Cp36,0.099126919,0.173523702,0.074233847,0.127056671,0.075802625,0.031563568
Cp38,0.019554447,0.05512129,0.033050441,0.077133834,0.023808328,0.003483951
Cp7Fb,0.01877855,0.023215948,0.012509296,0.01411449,0.002243142,0.002447087
Cp7Fc,0.027388306,0.045145778,0.009229197,0.015996591,0.005313523,0.004778811
Cpr49Ae,0.058169833,0.006518461,0.005534161,0.386780021,0.20046158,0.085635903
Cpr50Ca,0,0.005058386,0.027539899,0.089508106,0.457929767,0.013002498
Cpr51A,0.050078992,0.094000186,0.052910621,0.772143694,0.40074288,0.046506883
Cpr65Au,0.000657805,0.001208139,0,0.02248941,0.01382308,0
Cpr66D,0.005864452,0.166490845,0.001772938,0.007215992,0.003178501,0.001024577
Cpr67B,0.366737529,0.049502403,0.119831338,1.227629244,0.607777968,0.082214029
Cpr67Fb,0.001652384,0.012431196,0.03622107,0,0.001652384,0.006868078
Cpr78E,0,0.180986397,0.00568614,0.010935491,0.001682491,0
Cralbp,0,0.005384055,0.004443932,0.3310198,0.17903216,0.015112598
Crys,0.153563755,0.043788425,0.071985875,0.023691886,0.081351861,0.494070532
Csl4,0.006962791,0.005349821,0.020419402,0.007429158,0.027852226,0.038205583
CycA,0.022549552,0.006703559,0.036700919,0.006866651,0.081258902,0.310580957
CycB,0.005400684,0,0.005359461,0.003606647,0.004813519,0.004711376
CycB3,0.00327855,0.001154183,0.011925918,0.00337925,0.007707474,0.03325561
CycE,0.143040268,0.116169989,0.078898275,0.119019621,0.222748748,0.613599746
Cyp12e1,0.005006144,0.043895799,0.003269365,0.023461301,0.010504139,0.00670973
Cyp18a1,0.051781267,0.016578811,0.00258701,0.006235804,0.002117251,0.007739559
Cyp28a5,0.172638772,0.047173453,0.172878418,0.020454007,0.066190331,0.098716062
Cyp301a1,0.248275337,0.007621423,0.092267851,0.039332511,0.0296622,0.015482727
Cyp312a1,0.048606553,0.009473583,0.056320797,0.309061238,0.157118943,0.032250881
Cyp49a1,1.497362847,0.181730384,0.471085131,1.103419962,0.702178563,0.058702782
Cyp4aa1,0.009880819,0.032313822,0.020276543,1.188236121,0.626444114,0.013700098
Cyp4ac3,0.081340328,0.049437296,0.055892818,0.046196006,0.08367991,0.196529838
Cyp4ad1,0.023158442,0.050868119,0.024034252,0.009843353,0.014852708,0.045055296
Cyp4c3,0.002604705,0.006758989,0,0.045669323,0.01460634,0.006241306
Cyp4d1,0.050916555,0.022466237,0.02865507,0.023641621,0.069273236,0.142488261
Cyp4p3,0.05294419,0.103284521,0.093497991,0.097160026,0.903437397,0.025670263
Cyp6a23,0.692395513,0.139653977,0.635418,0.142324783,0.32531818,0.616888932
Cyp6a8,0.150046352,0.011597786,0.045220831,0.128186502,0.063193563,0.093399266
Cyp6d5,0.729289622,0.136534733,0.476178875,0.513627647,0.626389398,0.556649007
Cyp6g2,0.033804747,0.02988985,0.040553036,0.003582547,0.02498507,0.049890813
Cyp9b1,0.066715207,0,0.030595368,0.025040348,0.016338854,0.010681504
Cyp9b2,0.561146932,0.099055378,0.536063628,0.583907825,0.396317406,0.335472162
Cys,1.595285916,1.124921101,1.464053539,1.73346685,1.324876952,0.800417805
Cyt-b5-r,0.275944126,0.01662767,0.005667905,0.034294047,0.009929855,0.026747533
DAAM,0.021594561,0.11358417,0.010597705,0.101436839,0.072067616,0.266381329
DIP-lambda,2.833442658,3.029883699,3.300623419,1.38020494,1.578680324,2.441182436
DNaseII,0.00836998,0,0.057624256,0.037153461,0.030275807,0.011581611
Damm,1.05559842,0.337138934,0.470591366,0.141922738,0.547706036,1.25090949
Ddc,0.321338639,0.662612549,0.127553876,0.729063654,0.405123947,0.051462129
Ddr,0.039572088,0.1919075,0.036535771,0.012316635,0.012041524,0.031311531
Def,0.09028648,0.117062619,0.119452736,0.054874998,0.069611397,0.05169813
Dgk,0.205821632,1.634119099,0.095189929,0.119574269,0.544355842,0.304023086
Dgp-1,0.264829738,0.164227674,0.338428923,0.066944589,0.258143953,0.183014061
Dh31,0.035781046,0.056405709,0.01406632,0.020124071,0.029843697,0.019749796
Dh31-R,0.974183055,0.300707534,0.187032989,0.127255094,0.317082192,0.413895819
Dh44,0.406178021,0.047484947,0.190875935,0.025860786,0.143595438,0.181559998
Dhit,0.487388446,0.970622411,0.198953591,0.106670318,0.321439726,1.415581555
Diedel3,0.931205605,0.047281559,0.234779696,0.03883758,0.325487192,0.487541231
Dl,0.815584567,0.244073151,0.193385978,0.46260277,0.415350826,0.651977643
Dop1R1,0.095591072,0.119943078,0.044022423,0.050561265,0.057932739,0.082994353
DopEcR,0.003226819,0.15803725,0.006647944,0,0.011714822,0.004691359
DptA,0.099677248,0.274268537,0.17006419,0.141933442,0.099539849,0.124811442
DptB,0.018798699,0.072845603,0.037017777,0.011674124,0.015027418,0.02560194
Dr,0.096500877,0.002454028,0.003025499,0.283961524,0.166568578,0.019474752
Drat,1.746162228,0.817172889,0.871972614,1.261127362,1.067837854,0.759905891
Drep1,0.102697144,0.091093053,0.027376123,0.098512272,0.062660374,0.074001069
Drip,0.406668721,0.292945213,2.074833238,0.086135358,0.229030014,0.485181693
Dro,0.007797706,0.005677299,0.019504671,0.011224142,0.01107531,0.025960695
Drs,0.032964467,0.010618101,0.004752933,0.010283305,0.009548415,0.013780272
Drsl2,0.043851865,0.014367299,0.095330023,0.004995744,0.043736227,0.031033267
Drsl3,0.030459261,0.000748404,0.041249026,0.005896092,0.012341787,0.007491843
Dscam2,0.012886639,0.025557945,0.035246194,0.018985987,0.038858673,0.042343385
Dtg,0.034508781,0.01055376,0.018648588,0.019629768,0.091301259,0.550648239
Dup99B,0.025510341,0.004829895,0.000356936,0.003771035,0.003260108,0.015563801
E(spl)m3-HLH,0.038798733,0.040514873,0.007807684,0.010720055,0.149609407,1.10180409
E(spl)malpha-BFM,0.202713145,0.091820341,0.070444116,0.021479374,0.228227537,1.592091373
E(spl)mbeta-HLH,0.205915435,0.113443261,0.116002806,0.131372394,0.359187656,2.152549962
E23,0.948121472,0.404563301,0.948208647,1.415580823,0.871072076,0.71569638
ELOVL,0.995288635,0.12246734,0.715828271,1.379679402,0.972107191,0.438066746
ETHR,0.044145452,0.048205386,0.023113049,0.008968701,0.049136918,0.014324579
Eaat2,0.000662431,0.098995408,0.000741878,0,0.005804915,0
Ebp,0.113297229,0.055686578,0.121538725,0.040697621,0.0691529,0.10963162
EbpII,0.064321343,0.004568038,0.099091621,0.013251394,0.036009396,0.025012353
Ect3,0.208280455,0.068178698,0.400650195,0.002172314,0.07270082,0.076229371
Edg91,0.008790459,0,0,0.040319588,0.019633906,0.004107174
Eglp4,0.784534198,0.055189891,0.383021599,0.085355714,0.218492642,0.30231227
Eip71CD,0.549096548,0.214744548,0.194215104,0.155808639,0.246399918,0.269751523
Elal,0.037735853,0.001427661,0.004738434,0.024195012,0.042865088,0.003000408
Elk,0.011438138,1.172357236,0.007139455,0.019258578,0.015536357,0.006498236
Elo68alpha,0.016348334,0.00676198,0.012812768,0.223210897,0.095042368,0.012052654
Elo68beta,0,0.001178981,0,0.03101211,0.019898964,0
EndoU,0.030603302,0.016777126,0.008897523,0.073171222,0.028853932,0.007641695
Esp,0.075171233,0.006273289,0.016097471,0.05168658,0.019049574,0.008307005
Est-6,0.002321522,0.002663509,0.003952707,0.003857977,0.027560641,0.002607164
Ets21C,0.605482445,0.302737219,0.534684615,0.088274357,0.317780888,0.955276437
Ets98B,1.477153451,0.075779637,0.241555739,1.33263357,0.723450417,0.07883417
FANCI,0.015221587,0.00568275,0.015164288,0.00820711,0.142862605,0.056562237
FMRFaR,0,0.125913601,0.002887424,0.002892357,0,0.017828509
Fancd2,0.0052455,0.012282643,0.013431611,0.003417678,0.00181928,0.016591771
Fatp2,0.012672091,0.022993767,0.014387035,0.667310655,0.279749642,0.019816407
Fbp2,0.079286401,0.02085538,0.594122066,0.009986159,0,0.006740727
Fbxl7,0.200086266,0.007370127,0.054567807,0.239840995,0.121831776,0
Femcoat,0,0,0,0.057053238,0.031611421,0
Fen1,0.003178731,0.001574686,0.012791781,0.03210204,0.027589774,0.020013338
Fer1,0,0.07669732,0,0.00134966,0.148605248,0.002586561
Fer1HCH,2.070964375,1.429795619,1.624949508,1.471662104,1.615210763,2.406792921
Fer2LCH,1.856674872,1.291303283,1.395837235,1.047806056,1.3022532,1.844825114
Fie,0,0.048080791,0,0,0,0
Fife,0.014194423,0.00489277,0.027598944,0.03344184,0.027139619,0.028291178
Fili,0.040915745,0.031374629,0.041657588,0.368923448,0.326753467,0.134871058
FipoQ,0.019748433,0.089625037,0.005559992,0.016024123,0.056462254,0.002814501
FoxP,0.021837422,0.016942322,0,0.004560893,0,0
Frq1,0.010619079,0.447365073,0.000864784,0.057053948,0.027356172,0.00062407
Frq2,0.009374664,0.171467144,0.0084115,0.104888409,0.026079545,0
Fs,0.473987923,0.198067571,0.035743681,0.107590799,0.069478496,0.033569755
Fst,1.456227077,0.327940001,1.464185647,0.139297624,0.664994419,0.97787979
FucTA,0.108757875,0.083090894,0.017359342,0.022482062,0.998631029,0.721980564
GIIIspla2,0.038815474,0.02639496,0.052281783,0.431542089,0.260416139,0.086791523
GILT2,0.077094003,0.06361036,0.032143725,0.016472202,0.001795542,0.020385445
GLS,1.824354412,0.1531898,0.180223812,0.257339891,0.201889549,0.335518993
GNBP-like3,0.073020491,0,0.007106865,0.023168451,0.016280599,0.023908406
GV1,0.717373617,0.03301692,0.135835252,0.939515217,0.444137839,0.056296891
Gal,0.116317749,0.012256395,0.045210611,0.026578669,0.056756998,0.058641521
Gas41,0.033438447,0.039517991,0.012382423,0.017075758,0.027189531,0.064370978
Gasp,0.018544125,0.017986635,0.172769187,0.598935151,0.27688444,0.059472112
GatA,0.01709416,0.016930447,0.048039009,0.014402791,0.016927415,0.056348419
Gbs-70E,0.366347686,1.071361228,0.423748972,2.092717602,1.00484162,0.263320245
Gclc,3.245455464,1.408987983,2.708474919,1.77547984,1.671743568,2.198385576
Gdh,1.888505356,0.463942179,0.191259478,0.845688119,0.664627055,0.265786624
Gfrl,0.008295079,0.023968771,0.006049336,0.001721857,0.021838605,0.032268437
Ggamma30A,1.626886337,0.078323919,0.147345789,1.312108084,0.860424893,0.069731734
GlcAT-P,1.182629008,2.688944297,0.458648093,0.152736802,0.554917837,0.118621082
Gld,0.241708,0.010958005,0.002709646,0.184196384,0.103991062,0.028525927
Gld2,0.05549911,0.06254868,0.149185692,0.013392068,0.10018924,0.056514294
GluClalpha,0.006521513,0.333654612,0.027315815,0.007879463,0.016919808,0.005536761
GluRIB,0.028968509,0.036282777,0.024213051,0.025670396,0.024708908,0.009322246
GluRIIA,0.008786766,0.128227771,0.000560206,0.009146075,0,0.000549173
GluRIIC,0,0.024545533,0,0.005217007,0,0
GluRIIE,0.004747768,0.148540124,0,0.016584811,0.001476121,0
Gmap,2.965458169,2.690913657,2.840931581,2.018774605,3.069610279,3.956102085
Grip,0.054858115,0.350906276,0.016987498,0.039175907,0.099302059,0.485329862
